Time,U,V,W
0,32.8,5.97,3.08
0.01,30.57,5.56,0.8
0.02,29.1,3.36,-1.29
0.03,27.63,1.16,-1.85
0.04,26.24,-2.32,-0.75
0.05,26.13,-0.37,-0.45
0.06,26.03,1.56,-0.15
0.07,28.9,0.31,0.06
0.08,29.17,1.97,0.17
0.09,30.42,3.9,-1.38
0.1,31.67,2.93,-0.6
0.11,29.73,2.16,-0.82
0.12,30.75,4.27,-1.68
0.13,31.79,3.21,-1.25
0.14,25.15,3.4,-1.59
0.15,24.13,0.68,0.15
0.16,23.11,2.04,-0.72
0.17,25.55,3.31,1.45
0.18,25.61,2.18,2.04
0.19,25.02,2.1,2.09
0.2,26.94,0.21,2.22
0.21,27.21,0.24,1.65
0.22,29.4,-0.34,0.46
0.23,30.5,-1.76,1.31
0.24,29.03,2.61,0.12
0.25,25.83,-0.88,0.74
0.26,25.18,3.31,0.19
0.27,24.95,0.24,1.11
0.28,29.98,0.97,2.08
0.29,27.98,0.13,2.22
0.3,25.99,-0.7,2.37
0.31,26.32,1.9,2.65
0.32,22.4,3.31,3.04
0.33,25.42,4.63,3.38
0.34,28.18,3.28,3.22
0.35,30.46,1.44,3.29
0.36,29.13,2.49,3.67
0.37,29.67,0.97,3.89
0.38,29.82,2.3,4.04
0.39,29.98,3.64,3.9
0.4,30.52,5.57,3.06
0.41,27.11,5.68,2.22
0.42,25.58,4.88,0.86
0.43,24.05,4.08,-0.49
0.44,21.61,2.05,0.27
0.45,23.81,0.03,1.32
0.46,25.44,-0.41,1.81
0.47,21.88,0.68,2.12
0.48,22.72,-1.25,2.64
0.49,24.68,-3.95,2.4
0.5,23.16,-1.36,2.16
0.51,25,-1.35,2.01
0.52,25.38,-0.85,1.86
0.53,24.04,-1.26,1.7
0.54,26.3,0.23,0.93
0.55,25.81,-1.22,0.15
0.56,25.33,-2.67,-0.63
0.57,25.13,-2.03,-0.99
0.58,25.49,-4.72,-0.93
0.59,22.92,-4.17,-1.05
0.6,21.27,-3.64,-1.35
0.61,24.6,-3.64,-0.51
0.62,26.67,-3.13,-0.97
