Time,U,V,W,U Avg,V Avg,W Avg,U'=U - U avg,V'=V - V avg,W'=W - W avg,Octant,,Octant ID,+1,-1,+2,-2,+3,-3,+4,-4
0,32.8,5.97,3.08,27.30653354,0.048330476,0.107577744,5.493466465,5.921669524,2.972422256,+1,,Overall Count,2610,4603,4855,2798,4548,2784,2769,4778
0.01,30.57,5.56,0.8,,,,3.263466465,5.511669524,0.692422256,+1,User Input,Mod 5000,,,,,,,,
0.02,29.1,3.36,-1.29,,,,1.793466465,3.311669524,-1.397577744,-1,,.0000-5000,414,688,815,488,844,611,419,720
0.03,27.63,1.16,-1.85,,,,0.323466465,1.111669524,-1.957577744,-1,,5001-10000,380,757,820,516,778,530,443,776
0.04,26.24,-2.32,-0.75,,,,-1.066533535,-2.368330476,-0.857577744,-3,,10001-15000,621,1016,599,372,540,328,537,987
0.05,26.13,-0.37,-0.45,,,,-1.176533535,-0.418330476,-0.557577744,-3,,15001-20000,366,681,948,512,877,483,478,655
0.06,26.03,1.56,-0.15,,,,-1.276533535,1.511669524,-0.257577744,-2,,20001-25000,454,744,880,512,811,467,414,718
0.07,28.9,0.31,0.06,,,,1.593466465,0.261669524,-0.047577744,-1,,25001-30000,375,717,793,398,698,365,478,922
0.08,29.17,1.97,0.17,,,,1.863466465,1.921669524,0.062422256,+1,,,,,,,,,,
0.09,30.42,3.9,-1.38,,,,3.113466465,3.851669524,-1.487577744,-1,,,,,,,,,,
0.1,31.67,2.93,-0.6,,,,4.363466465,2.881669524,-0.707577744,-1,,,,,,,,,,
0.11,29.73,2.16,-0.82,,,,2.423466465,2.111669524,-0.927577744,-1,,,,,,,,,,
0.12,30.75,4.27,-1.68,,,,3.443466465,4.221669524,-1.787577744,-1,,,,,,,,,,
0.13,31.79,3.21,-1.25,,,,4.483466465,3.161669524,-1.357577744,-1,,,,,,,,,,
0.14,25.15,3.4,-1.59,,,,-2.156533535,3.351669524,-1.697577744,-2,,,,,,,,,,
0.15,24.13,0.68,0.15,,,,-3.176533535,0.631669524,0.042422256,+2,,,,,,,,,,
0.16,23.11,2.04,-0.72,,,,-4.196533535,1.991669524,-0.827577744,-2,,,,,,,,,,
0.17,25.55,3.31,1.45,,,,-1.756533535,3.261669524,1.342422256,+2,,,,,,,,,,
0.18,25.61,2.18,2.04,,,,-1.696533535,2.131669524,1.932422256,+2,,,,,,,,,,
0.19,25.02,2.1,2.09,,,,-2.286533535,2.051669524,1.982422256,+2,,,,,,,,,,
0.2,26.94,0.21,2.22,,,,-0.366533535,0.161669524,2.112422256,+2,,,,,,,,,,
0.21,27.21,0.24,1.65,,,,-0.096533535,0.191669524,1.542422256,+2,,,,,,,,,,
0.22,29.4,-0.34,0.46,,,,2.093466465,-0.388330476,0.352422256,+4,,,,,,,,,,
